plot_cn,STATECD,UNITCD,COUNTYCD,PLOT,LAT,LON,ELEV,INVYR,MEASYEAR,PLOT_STATUS_CD,FORTYPCD,LIVE_CANOPY_CVR_PCT,STDAGE,SLOPE,ASPECT,CONDID,geometry,boletus_id,boletus_lat,boletus_lon,boletus_elevation,boletus_date,distance_km,state,annual_precipitation_mm
41120161010497,41,3,35,79602,42.279811,-122.269,5500.0,2005,2005,1,261.0,,18.0,7.0,307.0,1,POINT (-122.26900000000002 42.279811),221193314,42.29252,-122.2703333333,,2024-06-07,1.415474694397388,OR,1431.139892578125
786780103290487,41,3,35,83311,42.302893,-122.271216,5500.0,2021,2021,1,261.0,65.0,250.0,2.0,0.0,1,POINT (-122.271216 42.30289299999999),221193314,42.29252,-122.2703333333,,2024-06-07,1.1541094579943867,OR,1345.7938232421875
290008690489998,41,3,35,79602,42.279811,-122.269,5500.0,2015,2015,1,201.0,62.0,110.0,10.0,255.0,1,POINT (-122.26900000000002 42.279811),221193314,42.29252,-122.2703333333,,2024-06-07,1.415474694397388,OR,1431.139892578125
41118311010497,41,3,35,83311,42.302893,-122.271216,5500.0,2001,2001,1,261.0,,230.0,2.0,0.0,1,POINT (-122.271216 42.30289299999999),221193314,42.29252,-122.2703333333,,2024-06-07,1.1541094579943867,OR,1345.7938232421875
44541194020004,41,3,35,78814,42.240916,-122.258441,5300.0,2013,2013,1,261.0,85.0,95.0,25.0,160.0,1,POINT (-122.25844099999999 42.240916),222342826,42.253995,-122.2525716667,,2024-06-12,1.5308740776482435,OR,1337.5172119140625
51860,41,3,35,171,42.266109,-122.243324,,1999,1998,1,221.0,,25.0,0.0,0.0,1,POINT (-122.24332399999999 42.26610899999999),222342826,42.253995,-122.2525716667,,2024-06-12,1.5463516064703742,OR,1337.5172119140625
714260445290487,41,3,35,95462,42.251599,-122.230916,5300.0,2020,2020,1,261.0,65.0,198.0,15.0,215.0,1,POINT (-122.230916 42.251599),222342826,42.253995,-122.2525716667,,2024-06-12,1.8061431618413446,OR,1337.5172119140625
24386303010900,41,3,35,78814,42.240916,-122.258441,5300.0,2003,2003,1,261.0,,60.0,30.0,172.0,1,POINT (-122.25844099999999 42.240916),222342826,42.253995,-122.2525716667,,2024-06-12,1.5308740776482435,OR,1337.5172119140625
558630473126144,41,3,31,92546,44.489957,-121.730671,3300.0,2019,2019,1,261.0,2.0,6.0,6.0,59.0,1,POINT (-121.73067099999999 44.489957000000004),224510743,44.4779851997,-121.7191949,,2024-06-22,1.6130105658495635,OR,1402.1983642578125
40219604010497,41,3,31,64663,44.461856,-121.726966,3300.0,2010,2010,1,261.0,,3.0,0.0,0.0,1,POINT (-121.726966 44.461856),224510743,44.4779851997,-121.7191949,,2024-06-22,1.8954500270863366,OR,663.9127807617188
29881788010497,41,3,31,92546,44.489957,-121.730671,3300.0,2009,2009,1,999.0,,0.0,10.0,39.0,1,POINT (-121.73067099999999 44.489957000000004),224510743,44.4779851997,-121.7191949,,2024-06-22,1.6130105658495635,OR,1402.1983642578125
645305584126144,41,3,31,64663,44.461856,-121.726966,3300.0,2020,2020,1,261.0,1.0,0.0,7.0,50.0,1,POINT (-121.726966 44.461856),224510743,44.4779851997,-121.7191949,,2024-06-22,1.8954500270863366,OR,663.9127807617188
