plot_cn,SPCD,species_name,scientific_name,tree_count,avg_dia,max_dia,avg_ht,total_carbon,trees_5plus_inches,state
490388083126144,263,western hemlock,Tsuga heterophylla,4,2.05,2.5,10.25,9.175104,0,OR
490388083126144,351,red alder,Alnus rubra,8,9.6625,13.7,63.25,2277.136924,8,OR
490388351126144,15,white fir,Abies concolor,41,8.7,28.0,54.292682926829265,11515.769201,36,OR
490388351126144,108,lodgepole pine,Pinus contorta,2,11.7,14.7,77.0,952.365592,2,OR
490388351126144,122,ponderosa pine,Pinus ponderosa,11,26.736363636363638,30.8,106.45454545454545,30692.506968,11,OR
490388351126144,202,Douglas-fir,Pseudotsuga menziesii,1,17.3,17.3,94.0,1016.933421,1,OR
490388546126144,15,white fir,Abies concolor,26,16.615384615384617,42.0,82.5,58914.408308,24,OR
490388546126144,81,incense-cedar,Calocedrus decurrens,1,5.1,5.1,21.0,24.48671,1,OR
490388546126144,117,sugar pine,Pinus lambertiana,2,27.85,32.0,116.5,5930.189544000001,2,OR
490388546126144,202,Douglas-fir,Pseudotsuga menziesii,5,38.44,51.7,140.2,37827.594176,5,OR
51860,122,ponderosa pine,Pinus ponderosa,11,7.409090909090909,10.8,22.363636363636363,492.817589,10,OR
51861,15,white fir,Abies concolor,25,15.44,33.6,66.76,26266.941304,21,OR
51861,21,Shasta red fir,Abies shastensis,3,27.233333333333334,38.7,106.33333333333333,8029.540258999999,3,OR
51861,117,sugar pine,Pinus lambertiana,1,46.7,46.7,157.0,9925.149739,1,OR
51861,119,western white pine,Pinus monticola,1,40.6,40.6,166.0,8380.18236,1,OR
51861,202,Douglas-fir,Pseudotsuga menziesii,1,27.6,27.6,104.0,2736.033559,1,OR
558628171126144,17,grand fir,Abies grandis,5,15.9,24.9,87.0,5399.632893,5,OR
558628171126144,73,western larch,Larix occidentalis,1,16.9,16.9,130.0,1178.993481,1,OR
558628171126144,93,Engelmann spruce,Picea engelmannii,2,11.850000000000001,15.8,75.5,950.776478,2,OR
558628171126144,119,western white pine,Pinus monticola,1,44.1,44.1,178.0,11210.141155,1,OR
558628171126144,202,Douglas-fir,Pseudotsuga menziesii,10,40.53,54.6,129.0,64661.297091,10,OR
558628171126144,242,western redcedar,Thuja plicata,9,18.822222222222223,45.8,82.11111111111111,11974.707021999999,9,OR
558628171126144,263,western hemlock,Tsuga heterophylla,1,8.2,8.2,44.0,118.231198,1,OR
558628315126144,11,Pacific silver fir,Abies amabilis,8,5.8875,9.2,34.0,562.185073,7,OR
558628315126144,202,Douglas-fir,Pseudotsuga menziesii,4,15.45,40.0,72.75,5330.675102,4,OR
558628315126144,242,western redcedar,Thuja plicata,7,18.485714285714288,69.8,64.42857142857143,17745.523658,7,OR
558628315126144,263,western hemlock,Tsuga heterophylla,9,7.866666666666666,17.5,43.888888888888886,1151.255912,8,OR
558628315126144,351,red alder,Alnus rubra,20,9.985,15.8,76.1,6738.906094,20,OR
558628315126144,431,"giant chinkapin, golden chinkapin",Chrysolepis chrysophylla var. chrysophylla,1,5.3,5.3,27.0,33.460255,1,OR
558628555126144,122,ponderosa pine,Pinus ponderosa,4,31.025,50.3,109.0,24835.618823,3,OR
558630473126144,122,ponderosa pine,Pinus ponderosa,1,27.0,27.0,101.0,2693.628202,1,OR
558630556126144,17,grand fir,Abies grandis,18,8.43888888888889,16.0,48.44444444444444,4088.68949,15,OR
558630556126144,122,ponderosa pine,Pinus ponderosa,3,9.533333333333333,11.2,63.0,698.777931,3,OR
558630556126144,202,Douglas-fir,Pseudotsuga menziesii,19,14.5,26.0,74.21052631578948,14567.901461,19,OR
558630580126144,15,white fir,Abies concolor,1,5.9,5.9,25.0,33.424921,1,OR
