L4_CODE,L4_NAME,species_common_name,tree_count,plots_with_species,total_plots_in_ecoregion,L3_CODE,L3_NAME,avg_tree_cover_pct,area_sqkm,pct_plots_with_species
15h,High Northern Rockies,lodgepole pine,239,8,8,15,Northern Rockies,1.2,224.5,100.0
15h,High Northern Rockies,subalpine fir,35,7,8,15,Northern Rockies,1.2,224.5,87.5
15h,High Northern Rockies,western larch,20,3,8,15,Northern Rockies,1.2,224.5,37.5
15h,High Northern Rockies,Douglas-fir,5,3,8,15,Northern Rockies,1.2,224.5,37.5
15h,High Northern Rockies,Engelmann spruce,3,2,8,15,Northern Rockies,1.2,224.5,25.0
15h,High Northern Rockies,western hemlock,3,1,8,15,Northern Rockies,1.2,224.5,12.5
15r,Okanogan-Colville Xeric Valleys and Foothills,Douglas-fir,3121,317,401,15,Northern Rockies,14.4,17036.2,79.1
15r,Okanogan-Colville Xeric Valleys and Foothills,ponderosa pine,1594,232,401,15,Northern Rockies,14.4,17036.2,57.9
15r,Okanogan-Colville Xeric Valleys and Foothills,western redcedar,832,64,401,15,Northern Rockies,14.4,17036.2,16.0
15r,Okanogan-Colville Xeric Valleys and Foothills,grand fir,480,80,401,15,Northern Rockies,14.4,17036.2,20.0
15r,Okanogan-Colville Xeric Valleys and Foothills,western larch,381,118,401,15,Northern Rockies,14.4,17036.2,29.4
15r,Okanogan-Colville Xeric Valleys and Foothills,lodgepole pine,266,63,401,15,Northern Rockies,14.4,17036.2,15.7
15r,Okanogan-Colville Xeric Valleys and Foothills,paper birch,104,31,401,15,Northern Rockies,14.4,17036.2,7.7
15r,Okanogan-Colville Xeric Valleys and Foothills,western hemlock,63,10,401,15,Northern Rockies,14.4,17036.2,2.5
15r,Okanogan-Colville Xeric Valleys and Foothills,Engelmann spruce,53,18,401,15,Northern Rockies,14.4,17036.2,4.5
15r,Okanogan-Colville Xeric Valleys and Foothills,quaking aspen,53,19,401,15,Northern Rockies,14.4,17036.2,4.7
15r,Okanogan-Colville Xeric Valleys and Foothills,white alder,43,4,401,15,Northern Rockies,14.4,17036.2,1.0
15r,Okanogan-Colville Xeric Valleys and Foothills,subalpine fir,39,7,401,15,Northern Rockies,14.4,17036.2,1.7
15r,Okanogan-Colville Xeric Valleys and Foothills,bitter cherry,32,6,401,15,Northern Rockies,14.4,17036.2,1.5
15r,Okanogan-Colville Xeric Valleys and Foothills,water birch,21,6,401,15,Northern Rockies,14.4,17036.2,1.5
15r,Okanogan-Colville Xeric Valleys and Foothills,black cottonwood,16,10,401,15,Northern Rockies,14.4,17036.2,2.5
15r,Okanogan-Colville Xeric Valleys and Foothills,chokecherry,6,3,401,15,Northern Rockies,14.4,17036.2,0.7
15r,Okanogan-Colville Xeric Valleys and Foothills,western white pine,4,3,401,15,Northern Rockies,14.4,17036.2,0.7
15r,Okanogan-Colville Xeric Valleys and Foothills,Prunus,3,1,401,15,Northern Rockies,14.4,17036.2,0.2
15r,Okanogan-Colville Xeric Valleys and Foothills,Rocky Mountain maple,3,1,401,15,Northern Rockies,14.4,17036.2,0.2
15r,Okanogan-Colville Xeric Valleys and Foothills,bigleaf maple,1,1,401,15,Northern Rockies,14.4,17036.2,0.2
15r,Okanogan-Colville Xeric Valleys and Foothills,red alder,1,1,401,15,Northern Rockies,14.4,17036.2,0.2
15s,Spokane Valley Outwash Plains,ponderosa pine,261,32,38,15,Northern Rockies,9.2,3200.1,84.2
15s,Spokane Valley Outwash Plains,Douglas-fir,127,17,38,15,Northern Rockies,9.2,3200.1,44.7
15s,Spokane Valley Outwash Plains,lodgepole pine,61,12,38,15,Northern Rockies,9.2,3200.1,31.6
15s,Spokane Valley Outwash Plains,grand fir,54,5,38,15,Northern Rockies,9.2,3200.1,13.2
15s,Spokane Valley Outwash Plains,Engelmann spruce,2,1,38,15,Northern Rockies,9.2,3200.1,2.6
15s,Spokane Valley Outwash Plains,western larch,2,2,38,15,Northern Rockies,9.2,3200.1,5.3
